Class,Year,Region,Status,CTSA,GOVT,GOVT AIDED,INDEPENDENT,JNV,KV
10,2022,Ajmer,Regd.,NA,8537,NA,102253,4945,9194
10,2022,Ajmer,Appd.,NA,8509,NA,101822,4928,9160
10,2022,Ajmer,Pass,NA,8154,NA,100178,4911,8875
10,2022,Bengaluru,Regd.,99,151,NA,60667,2442,5108
10,2022,Bengaluru,Appd.,97,151,NA,60555,2440,5093
10,2022,Bengaluru,Pass,94,151,NA,60089,2440,5042
10,2022,Bhopal,Regd.,NA,5802,NA,84877,4171,9126
10,2022,Bhopal,Appd.,NA,5681,NA,84390,4160,9094
10,2022,Bhopal,Pass,NA,4837,NA,79048,4152,8406
10,2022,Bhubaneswar,Regd.,102,17252,NA,81012,5295,13489
10,2022,Bhubaneswar,Appd.,101,17036,NA,80621,5277,13441
10,2022,Bhubaneswar,Pass,96,15828,NA,78070,5272,13136
10,2022,Chandigarh,Regd.,68,14941,217,112557,2884,7016
10,2022,Chandigarh,Appd.,67,14868,217,112317,2874,6989
10,2022,Chandigarh,Pass,49,11280,202,109732,2871,6860
10,2022,Chennai,Regd.,NA,4935,NA,129650,2316,11463
10,2022,Chennai,Appd.,NA,4867,NA,129342,2313,11439
10,2022,Chennai,Pass,NA,4023,NA,128808,2313,11301
10,2022,Dehradun,Regd.,151,2131,240,76961,1536,4535
10,2022,Dehradun,Appd.,150,2111,240,76588,1534,4525
10,2022,Dehradun,Pass,144,2058,223,71206,1533,4412
10,2022,Delhi East,Regd.,NA,124319,7818,78927,81,7339
10,2022,Delhi East,Appd.,NA,123021,7778,78645,81,7317
10,2022,Delhi East,Pass,NA,98859,6038,76635,81,7121
10,2022,Delhi West,Regd.,NA,87771,9527,47235,78,2998
10,2022,Delhi West,Appd.,NA,86757,9437,46955,78,2988
10,2022,Delhi West,Pass,NA,71817,6728,44256,78,2873
10,2022,Guwahati,Regd.,NA,25746,136,28645,5592,6638
10,2022,Guwahati,Appd.,NA,25309,136,28326,5522,6601
10,2022,Guwahati,Pass,NA,15187,126,27151,5474,6421
10,2022,Noida,Regd.,NA,466,1519,132092,1322,4991
10,2022,Noida,Appd.,NA,458,1517,130784,1315,4971
10,2022,Noida,Pass,NA,350,1511,125724,1309,4766
10,2022,Panchkula,Regd.,89,516,NA,154210,2431,3922
10,2022,Panchkula,Appd.,89,515,NA,153618,2424,3906
10,2022,Panchkula,Pass,77,494,NA,147937,2417,3737
10,2022,Patna,Regd.,NA,203,NA,222805,4706,7517
10,2022,Patna,Appd.,NA,202,NA,219583,4676,7488
10,2022,Patna,Pass,NA,166,NA,214586,4651,7271
10,2022,Prayagraj,Regd.,NA,2955,NA,173769,3750,9347
10,2022,Prayagraj,Appd.,NA,2789,NA,171869,3736,9322
10,2022,Prayagraj,Pass,NA,2203,NA,163244,3722,8774
10,2022,Pune,Regd.,NA,2135,NA,81413,3016,7322
10,2022,Pune,Appd.,NA,2130,NA,81112,3007,7297
10,2022,Pune,Pass,NA,2072,NA,79288,3007,6777
10,2022,Trivandrum,Regd.,NA,500,NA,61764,1166,4574
10,2022,Trivandrum,Appd.,NA,500,NA,61705,1164,4566
10,2022,Trivandrum,Pass,NA,455,NA,61548,1164,4551
